sep=,;
1;1
2;2
3;3
4;1
5;2
6;3
7;1
8;2
9;3
10;1
11;2
12;3
13;1
14;2
15;3
16;1
17;2
18;3
19;1
20;2
21;3
22;1
23;2
24;3
25;1
26;2
27;3
28;1
29;2
30;3
31;1
32;2
33;3
34;1
35;2
36;3
37;1
38;2
39;3
40;1
41;2
42;3
43;1
44;2
45;3
46;1
47;2
48;3
49;1
50;2
51;3
52;1
53;2
54;3
55;1
56;2
57;3
58;1
59;2
60;3
61;1
62;2
63;3
64;1
65;2
66;3
67;1
68;2
69;3
70;1
71;2
72;3
73;1
74;2
75;3
76;1
77;2
78;3
79;1
80;2
81;3
82;1
83;2
84;3
85;1
86;2
87;3
88;1
89;2
90;3
91;1
92;2
93;3
94;1
95;2
96;3
97;1
98;2
99;3
100;1
101;2
102;3
103;1
104;2
105;3
106;1
107;2
108;3
109;1
110;2
111;3
112;1
113;2
114;3
115;1
116;2
117;3
118;1
119;2
120;3
121;1
122;2
123;3
124;1
125;2
126;3
127;1
128;2
129;3
130;1
131;2
132;3
133;1
134;2
135;3
136;1
137;2
138;3
139;1
140;2
141;3
142;1
143;2
144;3
145;1
146;2
147;3
148;1
149;2
150;3
